titulo,categoria,descripcion,enlace,imagen,ubicacion,tipo,fecha_extraccion,precio,telefono,detalles
"Visita San Agustín, la capital arqueológica de Colombia",tour,,https://colombia.travel/es/visita-san-agustin-la-capital-arqueologica-de-colombia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/banner-parque-arqueologico.jpg?itok=dkIowR-8,San agustín,resultado_busqueda,2025-09-01T16:34:44.882693,Consultar,,
Neiva,evento,,https://colombia.travel/es/neiva,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/neiva_huila.jpg?itok=SZ213hQh,Neiva,resultado_busqueda,2025-09-01T16:34:44.883691,Consultar,,
Alojamientos no tradicionales,hotel,,https://colombia.travel/es/neiva/alojamientos-no-tradicionales,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Veraneras-en-balcones%2C-Cartagena%3B-Foto-Mario-Carvajal-www.mariocarvajal.com_.jpg?itok=Va5i1_zX,Huila,resultado_busqueda,2025-09-01T16:34:44.884722,Consultar,,
Fiestas de San Juan y San Pedro,evento,,https://colombia.travel/es/fiestas-san-juan-san-pedro-colombia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/eventos/desfile-san-juan.jpg?itok=UXLb5_Bj,Huila,resultado_busqueda,2025-09-01T16:34:44.884722,Consultar,,
El Hobo,atraccion_turistica,,https://colombia.travel/es/el-hobo,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/shutterstock_1832338756.jpg?itok=YBzFe7ho,Hobo,resultado_busqueda,2025-09-01T16:34:44.885721,Consultar,,
Planes que no te puedes perder en las fiestas de San Pedro y San Pablo,evento,,https://colombia.travel/es/vacacional/ferias-y-fiestas/fiestas-de-san-pedro,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/eventos/banner-fiestas-de-san-pedro.jpg?itok=_bwJhR6D,Huila,resultado_busqueda,2025-09-01T16:34:44.886722,Consultar,,
Agenda cultural imperdible de Colombia en la segunda mitad del año,evento,,https://colombia.travel/es/blog/agenda-cultural-imperdible-de-colombia-en-la-segunda-mitad-del-a%C3%B1o,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/Agenda-cultural-imperdible-de-Colombia-en-la-segunda-mitad-del-a%C3%B1o_.jpg?itok=qdAF540_,Colombia,resultado_busqueda,2025-09-01T16:34:44.886722,Consultar,,
Recorre el Bosque de las Estatuas,arqueologico,,https://colombia.travel/es/visita-san-agustin-la-capital-arqueologica-de-colombia/recorre-el-bosque-de-las,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Bosque%20de%20las%20estatuas%20San%20Agustin.jpg?itok=qWNO68UA,Huila,resultado_busqueda,2025-09-01T16:34:44.887720,Consultar,,
Recorre el Estrecho del Magdalena,atraccion_turistica,,https://colombia.travel/es/visita-san-agustin-la-capital-arqueologica-de-colombia/recorre-el-estrecho-del,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Estrecho%20del%20Magdalena%20%281%29.jpg?itok=kRCMS72Y,Huila,resultado_busqueda,2025-09-01T16:34:44.887720,Consultar,,
Pitalito,naturaleza,,https://colombia.travel/es/pitalito,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/destino/shutterstock_1436651489.jpg?itok=AlJDtcwX,Pitalito,resultado_busqueda,2025-09-01T16:34:44.888722,Consultar,,
Conoce el cacao colombiano y el turismo sostenible alrededor de este producto,atraccion_turistica,,https://colombia.travel/es/blog/conoce-el-cacao-colombiano-y-el-turismo-sostenible,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/PRCO_Banner_1990_880%20%281%29.jpg?itok=NASWJKni,Colombia,resultado_busqueda,2025-09-01T16:35:00.454352,Consultar,,
Tu propio Road Movie en el desierto de la Tatacoa,atraccion_turistica,,https://colombia.travel/es/blog/tu-propio-road-movie-en-el-desierto-de-la-tatacoa,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/PORTADA_1900X880_5_1.jpg?itok=BOIx3Jz-,Huila,resultado_busqueda,2025-09-01T16:35:00.455388,Consultar,,
Conoce las fincas cafeteras en Gigante,cafetero,,https://colombia.travel/es/el-hobo/conoce-las-fincas-cafeteras-en-gigante,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/PROCOLOMBIA_31.jpg?itok=iHx50-22,Gigante,resultado_busqueda,2025-09-01T16:35:00.455388,Consultar,,
Conoce el Parque Nacional Natural Cueva de los Guácharos,naturaleza,,https://colombia.travel/es/neiva/conoce-el-parque-nacional-natural-cueva-de-los-guacharos,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Parque%20Nacional%20Natural%20Cueva%20de%20los%20Gua%CC%81charos%20%281%29.jpg?itok=gSMkPiSs,Huila,resultado_busqueda,2025-09-01T16:35:00.456388,Consultar,,
Conoce el Parque Santander,naturaleza,,https://colombia.travel/es/neiva/conoce-el-parque-santander,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Parque%20Santander.jpg?itok=19Jykcts,Huila,resultado_busqueda,2025-09-01T16:35:00.456388,Consultar,,
Prueba Las achiras de Altamira,atraccion_turistica,,https://colombia.travel/es/pitalito/prueba-las-achiras-de-altamira,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Achiras%20de%20Altamira.jpg?itok=kbKJwjvj,Altamira,resultado_busqueda,2025-09-01T16:35:00.457388,Consultar,,
Sorpréndete en el Parque Nacional Natural Cueva de los Guácharos,naturaleza,,https://colombia.travel/es/pitalito/sorprendete-en-el-parque-nacional-natural-cueva-de-los-guacharos,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/actividades/Parque%20Nacional%20Natural%20Cueva%20de%20los%20Gua%CC%81charos.jpg?itok=dSCKhYVa,Huila,resultado_busqueda,2025-09-01T16:35:00.457388,Consultar,,
4 deportes extremos que puedes practicar en Colombia,naturaleza,,https://colombia.travel/es/blog/4-deportes-extremos-que-puedes-practicar-en-colombia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/4-deportes-extremos-que-puedes-practicar-en-Colombia.jpg?itok=h0dwu6Ta,Colombia,resultado_busqueda,2025-09-01T16:35:00.458389,Consultar,,
"Viajes en moto por Colombia, una aventura que no te puedes perder",aventura,,https://colombia.travel/es/blog/viajes-en-moto-por-colombia-una-aventura-que-no-te-puedes-perder,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/banner-viajes-en-moto.jpg?itok=jVqfvmre,Colombia,resultado_busqueda,2025-09-01T16:35:00.458389,Consultar,,
"Colombia, un paraíso para disfrutar de deportes náuticos",naturaleza,,https://colombia.travel/es/blog/colombia-un-paraiso-para-disfrutar-de-deportes-nauticos,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/depote-nautico-de-kayak-en-colombia.jpg?itok=MSgc3VIO,Colombia,resultado_busqueda,2025-09-01T16:35:00.458389,Consultar,,
"Un recorrido por la cocina colombiana (Regiones Caribe, Pacífico y Andina)",tour,,https://colombia.travel/es/blog/un-recorrido-por-la-cocina-colombiana-regiones-caribe-pacifico-y-andina,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/Bandeja_Paisa_-_Comida_tipica_colombiana.jpg?itok=4kAkgwle,Colombia,resultado_busqueda,2025-09-01T16:35:11.794715,Consultar,,
4 Destinos para disfrutar el turismo de lujo en Colombia,atraccion_turistica,,https://colombia.travel/es/blog/cuales-son-los-destinos-para-unas-vacaciones-de-lujo-en-colombia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/Cartagena_Portada.png?itok=lq9ouuMn,Colombia,resultado_busqueda,2025-09-01T16:35:11.795753,Consultar,,
5 frutas colombianas: Regiones con sabores de otro mundo,atraccion_turistica,,https://colombia.travel/es/blog/descubre-las-frutas-tropicales-de-colombia-y-los-maravillosos-lugares-de-donde-proceden,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/frutas.jpg?itok=iq5V0CxP,Colombia,resultado_busqueda,2025-09-01T16:35:11.795753,Consultar,,
5 lugares paradisíacos que solo podrían existir en Colombia,atraccion_turistica,,https://colombia.travel/es/blog/5-lugares-paradisiacos-que-solo-podrian-existir-en-colombia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/1000x420tayrona_0.png?itok=rstRB5s3,Colombia,resultado_busqueda,2025-09-01T16:35:11.796757,Consultar,,
Experimenta el encanto del ecoturismo en Colombia,naturaleza,,https://colombia.travel/es/blog/estas-son-las-regiones-para-vivir-el-ecoturismo-en-colombia,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/ecoturismo_colombia.jpg?itok=LX48qzRQ,Colombia,resultado_busqueda,2025-09-01T16:35:11.796757,Consultar,,
Preparaciones colombianas que han sido famosas a nivel mundial,atraccion_turistica,,https://colombia.travel/es/blog/preparaciones-colombianas-que-han-sido-famosas-nivel-mundial,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/PRCO_Web_Portada_1900x880_Ajiaco_shutterstock_1450780103.png?itok=8vyC7tXf,Colombia,resultado_busqueda,2025-09-01T16:35:11.797722,Consultar,,
5 platos de la gastronomía colombiana que tienes que probar,restaurante,,https://colombia.travel/es/encanto/5-platos-de-la-gastronomia-colombiana-que-tienes-que-probar,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/gastronomia_de_colombia.jpg?itok=6xgTtDwk,Colombia,resultado_busqueda,2025-09-01T16:35:11.798715,Consultar,,
Un viaje inolvidable a través de la ruta del café colombiano,cafetero,,https://colombia.travel/es/encanto/sabores/ruta-del-cafe-colombiano,https://colombia.travel/sites/default/files/styles/imagen_300x300_/public/Arriero%20y%20mula%20en%20el%20valle%20del%20cocora%2C%20PCC%3B%20Foto%20Cortesia%20Mario%20Carvajal%20wwwmariocarvajalcom%20%281%29.jpg?itok=LM3JqekQ,Colombia,resultado_busqueda,2025-09-01T16:35:11.798715,Consultar,,
